[2024-03-31 21:08:18,402] [INFO] [real_accelerator.py:191:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-03-31 21:08:18,403] [INFO] [real_accelerator.py:191:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-03-31 21:08:18,617] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-03-31 21:08:18,618] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-03-31 21:08:18,618] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
Formatting inputs...Skip in lazy mode
Formatting inputs...Skip in lazy mode
{'loss': 8.9287, 'grad_norm': 65.11604309082031, 'learning_rate': 2.239140170174653e-07, 'epoch': 0.0}
{'loss': 9.4264, 'grad_norm': 56.78820037841797, 'learning_rate': 4.478280340349306e-07, 'epoch': 0.0}
{'loss': 9.1215, 'grad_norm': 56.833587646484375, 'learning_rate': 6.717420510523959e-07, 'epoch': 0.0}
{'loss': 9.1367, 'grad_norm': 53.91546630859375, 'learning_rate': 8.956560680698612e-07, 'epoch': 0.0}
{'loss': 8.8059, 'grad_norm': 94.79651641845703, 'learning_rate': 1.1195700850873264e-06, 'epoch': 0.0}
{'loss': 8.8316, 'grad_norm': 48.93677520751953, 'learning_rate': 1.3434841021047918e-06, 'epoch': 0.0}
{'loss': 8.7655, 'grad_norm': 87.8599624633789, 'learning_rate': 1.567398119122257e-06, 'epoch': 0.0}
{'loss': 8.8361, 'grad_norm': 107.33932495117188, 'learning_rate': 1.7913121361397224e-06, 'epoch': 0.0}
{'loss': 9.1797, 'grad_norm': 61.98519515991211, 'learning_rate': 2.015226153157188e-06, 'epoch': 0.0}
{'loss': 9.9831, 'grad_norm': 71.62480926513672, 'learning_rate': 2.239140170174653e-06, 'epoch': 0.0}
{'loss': 9.4769, 'grad_norm': 51.09095764160156, 'learning_rate': 2.463054187192118e-06, 'epoch': 0.0}
{'loss': 9.068, 'grad_norm': 64.80931091308594, 'learning_rate': 2.6869682042095836e-06, 'epoch': 0.0}
{'loss': 8.9196, 'grad_norm': 87.61898040771484, 'learning_rate': 2.910882221227049e-06, 'epoch': 0.0}
{'loss': 9.678, 'grad_norm': 57.941097259521484, 'learning_rate': 3.134796238244514e-06, 'epoch': 0.0}
{'loss': 8.9616, 'grad_norm': 67.23571014404297, 'learning_rate': 3.3587102552619794e-06, 'epoch': 0.0}
{'loss': 8.5703, 'grad_norm': 105.59847259521484, 'learning_rate': 3.582624272279445e-06, 'epoch': 0.0}
{'loss': 8.7775, 'grad_norm': 66.34671783447266, 'learning_rate': 3.8065382892969102e-06, 'epoch': 0.0}
